PartitionKey,RowKey,CountryCode,Latitude,Longitude,SW_Lat,SW_Lon,NE_Lat,NE_Lon,lat radians,long radians
Canada,Moncton,CA,46.103921,-64.839568,45.92406488,-65.09899334,46.28377712,-64.58014266,0.80466522,-1.131663947
Switzerland,Geneva,CH,46.228258,6.128335,46.04840188,5.868318367,46.40811412,6.388351633,0.80683531,0.106959623
Canada,Charlottetown,CA,46.276205,-63.165425,46.09634888,-63.42567037,46.45606112,-62.90517963,0.807672143,-1.10244464
Canada,Trois-Rivieres,CA,46.387531,-72.555628,46.20767488,-72.81640602,46.56738712,-72.29484998,0.809615148,-1.266334599
Ukraine,Odessa,UA,46.463268,30.662302,46.28341188,30.40116037,46.64312412,30.92344363,0.810937008,0.535158126
Canada,Sault Ste. Marie,CA,46.509827,-84.283532,46.32997088,-84.54489767,46.68968312,-84.02216633,0.811749616,-1.471025139
Canada,Greater Sudbury,CA,46.549623,-81.100464,46.36976688,-81.36202147,46.72947912,-80.83890653,0.812444187,-1.415470122
Romania,Cluj-Napoca,RO,46.752174,23.565074,46.57231788,23.30253595,46.93203012,23.82761205,0.815979369,0.41128813
Canada,Quebec City,CA,46.848363,-71.245443,46.66850688,-71.50844929,47.02821912,-70.98243671,0.817658184,-1.243467557
Hungary,Szekesfehervar,HU,47.141969,18.411784,46.96211288,18.14732813,47.32182512,18.67623987,0.822782575,0.321346252
Switzerland,Zug,CH,47.143138,8.509042,46.96328188,8.244580284,47.32299412,8.773503717,0.822802978,0.148510799
Austria,Innsbruck,AT,47.225434,11.410194,47.04557788,11.1453201,47.40529012,11.6750679,0.824239314,0.199145454
Russia,Rostov-na-Donu,RU,47.233333,39.7,47.05347688,39.43508647,47.41318912,39.96491353,0.824377178,0.692895713
France,Nantes,FR,47.255866,-1.516314,47.07600988,-1.781340641,47.43572212,-1.251287359,0.824770453,-0.026464672
Switzerland,Zurich,CH,47.404665,8.488951,47.22480888,8.223174963,47.58452112,8.754727037,0.827367485,0.148160145
Hungary,Budapest,HU,47.513478,19.102234,47.33362188,18.83590726,47.69333412,19.36856074,0.82926663,0.333396878
Switzerland,Basle,CH,47.520034,7.593789,47.34017788,7.327429007,47.69989012,7.860148993,0.829381054,0.132536621
Canada,St. John's,CA,47.527356,-52.758044,47.34749988,-53.02444114,47.70721212,-52.49164686,0.829508847,-0.920801575
United States,Seattle (WA),US,47.564787,-122.359081,47.38493088,-122.6256682,47.74464312,-122.0924938,0.830162141,-2.135568833
Hungary,Gyor,HU,47.682497,17.71648,47.50264088,17.44929331,47.86235312,17.98366669,0.832216568,0.309210908
United States,Spokane (WA),US,47.683996,-117.371384,47.50413988,-117.6385783,47.86385212,-117.1041897,0.832242731,-2.048517098
Austria,Salzburg,AT,47.840843,13.006798,47.66098688,12.73880062,48.02069912,13.27479538,0.834980227,0.22701145
